annee,dept,libelle_classe_age,patho_niv1,Npop,Ntop,prev_calculee
2015,9,de 25 à 29 ans,Maladies respiratoires chroniques (hors mucoviscidose),13720,330.0,2.41
2015,9,de 30 à 34 ans,Cancers,55430,450.0,0.81
2015,9,de 30 à 34 ans,Diabète,14740,100.0,0.68
2015,9,de 30 à 34 ans,Maladies cardioneurovasculaires,40690,160.0,0.39
2015,9,de 30 à 34 ans,Maladies du foie ou du pancréas (hors mucoviscidose),14740,60.0,0.41
2015,9,de 30 à 34 ans,Maladies inflammatoires ou rares ou infection VIH,58960,390.0,0.66
2015,9,de 30 à 34 ans,Maladies neurologiques,51590,280.0,0.54
2015,9,de 30 à 34 ans,Maladies psychiatriques,81070,1160.0,1.43
2015,9,de 30 à 34 ans,Maladies respiratoires chroniques (hors mucoviscidose),14740,430.0,2.92
2015,9,de 35 à 39 ans,Cancers,69310,610.0,0.88
2015,9,de 35 à 39 ans,Diabète,16170,180.0,1.11
2015,9,de 35 à 39 ans,Maladies cardioneurovasculaires,76590,280.0,0.37
2015,9,de 35 à 39 ans,Maladies du foie ou du pancréas (hors mucoviscidose),16170,110.0,0.68
2015,9,de 35 à 39 ans,Maladies inflammatoires ou rares ou infection VIH,92770,550.0,0.59
2015,9,de 35 à 39 ans,Maladies neurologiques,64670,320.0,0.49
2015,9,de 35 à 39 ans,Maladies psychiatriques,92780,1420.0,1.53
2015,9,de 35 à 39 ans,Maladies respiratoires chroniques (hors mucoviscidose),16170,500.0,3.09
2015,9,de 40 à 44 ans,Cancers,100960,1020.0,1.01
2015,9,de 40 à 44 ans,Diabète,18160,230.0,1.27
2015,9,de 40 à 44 ans,Maladies cardioneurovasculaires,130760,680.0,0.52
2015,9,de 40 à 44 ans,Maladies du foie ou du pancréas (hors mucoviscidose),18160,140.0,0.77
2015,9,de 40 à 44 ans,Maladies inflammatoires ou rares ou infection VIH,136200,960.0,0.7
2015,9,de 40 à 44 ans,Maladies neurologiques,72640,430.0,0.59
2015,9,de 40 à 44 ans,Maladies psychiatriques,104240,1900.0,1.82
2015,9,de 40 à 44 ans,Maladies respiratoires chroniques (hors mucoviscidose),18160,680.0,3.74
2015,9,de 45 à 49 ans,Cancers,125780,1460.0,1.16
2015,9,de 45 à 49 ans,Diabète,19240,540.0,2.81
2015,9,de 45 à 49 ans,Insuffisance rénale chronique terminale,9620,10.0,0.1
2015,9,de 45 à 49 ans,Maladies cardioneurovasculaires,191920,1720.0,0.9
2015,9,de 45 à 49 ans,Maladies du foie ou du pancréas (hors mucoviscidose),19240,250.0,1.3
2015,9,de 45 à 49 ans,Maladies inflammatoires ou rares ou infection VIH,144300,880.0,0.61
2015,9,de 45 à 49 ans,Maladies neurologiques,86580,620.0,0.72
2015,9,de 45 à 49 ans,Maladies psychiatriques,125060,2540.0,2.03
2015,9,de 45 à 49 ans,Maladies respiratoires chroniques (hors mucoviscidose),19240,750.0,3.9
2015,9,de 5 à 9 ans,Cancers,15700,20.0,0.13
2015,9,de 5 à 9 ans,Diabète,7850,10.0,0.13
2015,9,de 5 à 9 ans,Maladies cardioneurovasculaires,23920,80.0,0.33
2015,9,de 5 à 9 ans,Maladies inflammatoires ou rares ou infection VIH,31770,70.0,0.22
2015,9,de 5 à 9 ans,Maladies neurologiques,39250,230.0,0.59
2015,9,de 5 à 9 ans,Maladies psychiatriques,31400,490.0,1.56
2015,9,de 5 à 9 ans,Maladies respiratoires chroniques (hors mucoviscidose),15700,1010.0,6.43
2015,9,de 50 à 54 ans,Cancers,180250,2350.0,1.3
2015,9,de 50 à 54 ans,Diabète,20520,890.0,4.34
2015,9,de 50 à 54 ans,Insuffisance rénale chronique terminale,25750,40.0,0.16
2015,9,de 50 à 54 ans,Maladies cardioneurovasculaires,246040,2900.0,1.18
2015,9,de 50 à 54 ans,Maladies du foie ou du pancréas (hors mucoviscidose),20520,310.0,1.51
2015,9,de 50 à 54 ans,Maladies inflammatoires ou rares ou infection VIH,148870,1080.0,0.73
2015,9,de 50 à 54 ans,Maladies neurologiques,102600,740.0,0.72
2015,9,de 50 à 54 ans,Maladies psychiatriques,123120,2800.0,2.27
2015,9,de 50 à 54 ans,Maladies respiratoires chroniques (hors mucoviscidose),20520,1060.0,5.17
2015,9,de 55 à 59 ans,Cancers,245040,3610.0,1.47
2015,9,de 55 à 59 ans,Diabète,20420,1450.0,7.1
2015,9,de 55 à 59 ans,Insuffisance rénale chronique terminale,25350,40.0,0.16
2015,9,de 55 à 59 ans,Maladies cardioneurovasculaires,260180,4500.0,1.73
2015,9,de 55 à 59 ans,Maladies du foie ou du pancréas (hors mucoviscidose),20420,410.0,2.01
2015,9,de 55 à 59 ans,Maladies inflammatoires ou rares ou infection VIH,173920,1380.0,0.79
2015,9,de 55 à 59 ans,Maladies neurologiques,102100,670.0,0.66
2015,9,de 55 à 59 ans,Maladies psychiatriques,122520,2880.0,2.35
2015,9,de 55 à 59 ans,Maladies respiratoires chroniques (hors mucoviscidose),20420,1320.0,6.46
2015,9,de 60 à 64 ans,Cancers,260750,4800.0,1.84
2015,9,de 60 à 64 ans,Diabète,20860,2120.0,10.16
2015,9,de 60 à 64 ans,Insuffisance rénale chronique terminale,26080,40.0,0.15
2015,9,de 60 à 64 ans,Maladies cardioneurovasculaires,276410,6780.0,2.45
2015,9,de 60 à 64 ans,Maladies du foie ou du pancréas (hors mucoviscidose),20860,340.0,1.63
2015,9,de 60 à 64 ans,Maladies inflammatoires ou rares ou infection VIH,177310,1470.0,0.83
2015,9,de 60 à 64 ans,Maladies neurologiques,130380,850.0,0.65
2015,9,de 60 à 64 ans,Maladies psychiatriques,114730,2700.0,2.35
2015,9,de 60 à 64 ans,Maladies respiratoires chroniques (hors mucoviscidose),20860,1620.0,7.77
2015,9,de 65 à 69 ans,Cancers,261070,6740.0,2.58
2015,9,de 65 à 69 ans,Diabète,20480,2880.0,14.06
2015,9,de 65 à 69 ans,Insuffisance rénale chronique terminale,25550,70.0,0.27
2015,9,de 65 à 69 ans,Maladies cardioneurovasculaires,276380,9240.0,3.34
2015,9,de 65 à 69 ans,Maladies du foie ou du pancréas (hors mucoviscidose),20480,310.0,1.51
2015,9,de 65 à 69 ans,Maladies inflammatoires ou rares ou infection VIH,158670,1420.0,0.89
2015,9,de 65 à 69 ans,Maladies neurologiques,143360,950.0,0.66
2015,9,de 65 à 69 ans,Maladies psychiatriques,117710,2460.0,2.09
2015,9,de 65 à 69 ans,Maladies respiratoires chroniques (hors mucoviscidose),20480,1870.0,9.13
2015,9,de 70 à 74 ans,Cancers,175290,6150.0,3.51
2015,9,de 70 à 74 ans,Diabète,13760,2260.0,16.42
2015,9,de 70 à 74 ans,Insuffisance rénale chronique terminale,20340,70.0,0.34
2015,9,de 70 à 74 ans,Maladies cardioneurovasculaires,192640,8410.0,4.37
2015,9,de 70 à 74 ans,Maladies du foie ou du pancréas (hors mucoviscidose),13760,190.0,1.38
2015,9,de 70 à 74 ans,Maladies inflammatoires ou rares ou infection VIH,96020,1060.0,1.1
2015,9,de 70 à 74 ans,Maladies neurologiques,72090,1040.0,1.44
2015,9,de 70 à 74 ans,Maladies psychiatriques,68800,1540.0,2.24
